Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,142,0,10000
2,0,283,0,10000
3,0,424,0,0
4,0,561,0,0
5,0,697,0,0
6,0,834,0,0
7,0,967,0,0
8,0,1105,0,0
9,0,1238,0,0
10,0,1369,0,0
11,0,1502,0,0
