Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,242,0,10000
2,0,486,0,10000
3,0,730,0,0
4,0,969,0,0
5,0,1205,0,0
6,0,1433,0,0
7,0,1661,0,0
8,0,1879,0,0
9,0,2093,0,0
10,0,2307,0,0
11,0,2522,0,0
