Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,245,0,10000
2,0,482,0,10000
3,0,712,0,0
4,0,952,0,0
5,0,1197,0,0
6,0,1434,0,0
7,0,1646,0,0
8,0,1861,0,0
9,0,2078,0,0
10,0,2292,0,0
11,0,2500,0,0
