Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,315,0,10000
2,0,630,0,10000
3,0,954,0,0
4,0,1257,0,0
5,0,1566,0,0
6,0,1859,0,0
7,0,2141,0,0
8,0,2405,0,0
9,0,2658,0,0
10,0,2911,0,0
11,0,3149,0,0
